school_year,lea_code,school_type,school_code,school_name,official_school_name,address_line1,address_line2,city,state,zip_code_5,opening_effective_date,grade_level_current,school_type_description,school_program_type_description,school_calendar_description
2013-14,00A,charter,00A000,NC Connections Academy,North Carolina Connections Academy,2700 Meridian Parkway,Suite 300,Durham,NC,27713,07/01/2015,KG:01:02:03:04:05:06:07:08:09:10,,,
2013-14,00B,charter,00B000,NC Virtual Academy,NC Virtual Academy,4220 NC Highway 55,Suite 130,Durham,NC,27713,07/01/2015,KG:01:02:03:04:05:06:07:08:09:10:11,,,
2013-14,01B,charter,01B000,River Mill Academy,River Mill Academy,235 Cheeks Lane,,Graham,NC,27253,06/30/1998,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,01C,charter,01C000,Clover Garden,Clover Garden,2454 Altamhaw Union Ridge Road,,Burlington,NC,27217,06/30/2001,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,01D,charter,01D000,The Hawbridge School,The Hawbridge School,1735 Saxapahaw Bethlehem Church Rd,,Saxapahaw,NC,27340,07/01/2004,05:06:07:08:09:10:11:12,,,
2013-14,06A,charter,06A000,Grandfather Academy,Grandfather Academy,158 Grandfather Home Drive,,Banner Elk,NC,28604,06/30/1997,01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,06B,charter,06B000,Williams Academy,Marjorie Williams Academy,129 Allen Circle,,Crossnore,NC,28616,06/30/1999,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,07A,charter,07A000,Washington Montessori,Washington Montessori Public Charter School,2330 Old Bath Hwy,,Washington,NC,27889,06/30/2000,KG:01:02:03:04:05:06:07:08:09:10:11,,,
2013-14,08A,charter,08A000,Heritage Collegiate Leadership Academy,Heritage Collegiate Leadership Academy,118-B County Farm Road,,Windsor,NC,27983,07/01/2014,KG:01:02:03:04:05,,,
2013-14,09A,charter,09A000,Paul R Brown Leadership Academy,Paul R Brown Leadership Academy,1300 Martin L King Jr Dr,,Elizabethtown,NC,28337,07/01/2013,06:07:08:09:10:11:12,,,
2013-14,10A,charter,10A000,Charter Day School,Charter Day School,7055 Bacon's Way,,Leland,NC,28451,06/30/2000,KG:01:02:03:04:05:06:07:08,,,
2013-14,10B,charter,10B000,South Brunswick Charter School,South Brunswick Charter School,2260 Achievement Ave SE,,Bolivia,NC,28422,07/01/2014,KG:01:02:03:04,,,
2013-14,11A,charter,11A000,Evergreen Community Charter,Evergreen Community Charter,50 Bell Road,,Asheville,NC,28805,06/30/1999,KG:01:02:03:04:05:06:07:08,,,
2013-14,11B,charter,11B000,ArtSpace Charter School,ArtSpace Charter School,2030 US Hwy 70,,Swannanoa,NC,28778,06/30/2001,KG:01:02:03:04:05:06:07:08,,,
2013-14,11C,charter,11C000,Invest Collegiate - Imagine,Invest Collegiate (Buncombe),1000 Brevard Road,Suite 175,Asheville,NC,28806,07/01/2014,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,11D,charter,11D000,The Franklin School of Innovation,The Franklin School of Innovation,21 Innovation Drive,,Asheville,NC,28806,07/01/2014,06:07:08:09:10:11,,,
2013-14,11K,charter,11K000,Francine Delany New School,Francine Delany New School for Children,119 Brevard Road,,Asheville,NC,28806,06/30/1997,KG:01:02:03:04:05:06:07:08,,,
2013-14,12A,charter,12A000,New Dimensions,The New Dimensions School,550 Lenoir Road,,Morganton,NC,28655,06/30/2001,KG:01:02:03:04:05:06:07:08,,,
2013-14,13A,charter,13A000,Carolina International School,Carolina International School,9545 Poplar Tent Road,,Concord,NC,28027,07/01/2004,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,13B,charter,13B000,Cabarrus Charter Academy,sCabarrus Charter Academy,355 Poplar Crossing Drive NW,,Concord,NC,28027,07/01/2013,KG:01:02:03:04:05:06:07:08:09:10,,,
2013-14,13C,charter,13C000,A.C.E. Academy,A.C.E. Academy,7807 Caldwell Road,,Harrisburg,NC,28075,07/01/2014,KG:01:02:03:04:05:06:07,,,
2013-14,13D,charter,13D000,Kannapolis Charter Academy,Kannapolis Charter Academy,1911 Concord Lake Road,,Kannapolis,NC,28083,07/01/2016,KG:01:02:03:04:05:06,,,
2013-14,16B,charter,16B000,Tiller School,Tiller School,1950 Hwy 70E,,Beaufort,NC,28516,06/30/1998,KG:01:02:03:04:05,,,
2013-14,19A,charter,19A000,Chatham Charter,Chatham Charter,2200 Hamp Stone Rd,,Siler City,NC,27344,06/30/1997,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,19B,charter,19B000,Woods Charter,Woods Charter,160 Woodland Grove Ln,,Chapel Hill,NC,27516,06/30/1998,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,19C,charter,19C000,Willow Oak Montessori,Willow Oak Montessori,50101 Governors Dr,Suite 170,Chapel Hill,NC,27517,07/01/2013,01:02:03:04:05:06,,,
2013-14,20A,charter,20A000,The Learning Center,The Learning Center,945 Conaheeta Street,,Murphy,NC,28906,06/30/1997,KG:01:02:03:04:05:06:07:08,,,
2013-14,23A,charter,23A000,Pinnacle Classical Academy,Pinnacle Classical Academy,900 S Post Rd,,Shelby,NC,28152,07/01/2013,KG:01:02:03:04:05:06:07:08:09,,,
2013-14,24B,charter,24B000,Flemington Academy,Flemington Academy,400Flemington Dr.,,Lake Waccamaw,NC,28450,07/01/2013,06:07:08:09:10:11:12,,,
2013-14,24N,charter,24N000,Columbus Charter School,Columbus Charter School,35 Bacon's Way,,Whiteville,NC,28472,07/01/2008,KG:01:02:03:04:05:06:07:08,,,
2013-14,26B,charter,26B000,Alpha Academy,Alpha Academy,8030 Raeford Road,,Fayetteville,NC,28304,06/27/2000,KG:01:02:03:04:05:06:07:08:09,,,
2013-14,26C,charter,26C000,The Capitol Encore Academy,The Capitol Encore Academy,126 Hay Street,,Fayetteville,NC,28301,07/01/2014,KG:01:02:03:04:05:06:07,,,
2013-14,27A,charter,27A000,Water's Edge Village School,Water's Edge Village School,1126 Schoolhouse Lane,,Corolla,NC,27927,07/01/2012,KG:01:02:03:04:05:06:07,,,
2013-14,32A,charter,32A000,Maureen Joy Charter School,Maureen Joy Charter School,107 South Driver Street,,Durham,NC,27703,06/30/1997,KG:01:02:03:04:05:06:07:08,,,
2013-14,32B,charter,32B000,Healthy Start Academy,Healthy Start Academy,807 West Chapel Hill Street,,Durham,NC,27701,06/30/1997,KG:01:02:03:04:05:06:07:08,,,
2013-14,32C,charter,32C000,Carter Community Charter,"Carter Community Charter School, Inc.",1955 West Cornwallis Road,,Durham,NC,27705,06/30/1998,KG:01:02:03:04:05:06:07:08,,,
2013-14,32D,charter,32D000,Kestrel Heights School,Kestrel Heights School,4700 S Alston Ave,,Durham,NC,27713,06/30/1998,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,32H,charter,32H000,Research Triangle Charter,Research Triangle Charter Academy,2418 Ellis Road,,Durham,NC,27703,06/30/1999,KG:01:02:03:04:05:06:07:08,,,
2013-14,32K,charter,32K000,Central Park School For Child,Central Park School for Children,724 Foster Street,,Durham,NC,27701,06/30/2003,KG:01:02:03:04:05:06:07:08,,,
2013-14,32L,charter,32L000,Voyager Academy,Voyager Academy,4302 Ben Franklin Blvd,,Durham,NC,27704,07/02/2007,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,32M,charter,32M000,Global Scholars Academy,Global Scholars Academy,311 Dowd St,,Durham,NC,27701,07/01/2011,KG:01:02:03:04:05:06:07:08,,,
2013-14,32N,charter,32N000,Research Triangle High School,Research Triangle High School,3106 East NC Highway 54,,Durham,NC,27709,07/01/2012,09:10:11:12,,,
2013-14,32P,charter,32P000,The Institute Development Young Leaders,The Institute for the Development of Young Leaders,1305 W. Club Blvd.,,Durham,NC,27705,07/01/2013,KG:01:02:03:04:05:06:07:08,,,
2013-14,32Q,charter,32Q000,Reaching All Minds Academy,Reaching All Minds Academy,2703 Holloway St.,,Durham,NC,27703,07/01/2014,KG:01:02:03:04:05,,,
2013-14,32R,charter,32R000,Excelsior Classical Academy,Excelsior Classical Academy CFA,4100 N Roxboro Street,,Durham,NC,27704,07/01/2015,KG:01:02:03:04:05,,,
2013-14,32S,charter,32S000,KIPP Durham College Preparatory,KIPP Durham College Preparatory,1107 Holloway Street,,Durham,NC,27701,07/01/2015,05:06,,,
2013-14,33A,charter,33A000,North East Carolina Prep,North East Carolina Preparatory,274 Husky Trail,,Tarboro,NC,27886,07/01/2012,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,34B,charter,34B000,Quality Education Academy,Quality Education Academy,5012 D Lansing Dr,,Winston-Salem,NC,27105,06/30/1997,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,34D,charter,34D000,Carter G Woodson School,Carter G Woodson School,437 Goldfloss Street,,Winston-Salem,NC,27127,06/30/1997,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,34F,charter,34F000,Forsyth Academy,Forsyth Academy,5426 Shattalon Drive,,Winston-Salem,NC,27106,06/30/1999,KG:01:02:03:04:05:06:07:08,,,
2013-14,34G,charter,34G000,The Arts Based School,The Arts Based School,1380 Martin Luther King Jr Dr,,Winston-Salem,NC,27101,06/30/2002,KG:01:02:03:04:05:06:07:08,,,
2013-14,34H,charter,34H000,The North Carolina Leadership Academy,The North Carolina Leadership Academy,4353 High Point Rd,,Kernersville,NC,27284,07/01/2013,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,35A,charter,35A000,Crosscreek Charter School,Crosscreek Charter School,306 Sandalwood Avenue,,Louisburg,NC,27549,06/30/2001,KG:01:02:03:04:05:06:07:08,,,
2013-14,35B,charter,35B000,Youngsville Academy,Youngsville Academy,249 Holden Road,,Youngsville,NC,27596,07/01/2015,KG:01:02:03,,,
2013-14,36B,charter,36B000,Piedmont Community Charter School,Piedmont Community Charter School,119 E. 2nd Avenue,,Gastonia,NC,28052,06/30/2000,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,36C,charter,36C000,Mountain Island Charter School,Mountain Island Charter School ,13440 Lucia-Riverbend Highway,,Mt. Holly,NC,28120,07/01/2010,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,39A,charter,39A000,Falls Lake Academy,Falls Lake Academy,1701 East Lyon Station Road,,Creedmoor,NC,27522,07/01/2013,KG:01:02:03:04:05:06:07:08:09:10,,,
2013-14,39B,charter,39B000,Oxford Preparatory,Oxford Preparatory School,6041 Landis Rd,,Oxford,NC,27565,07/01/2013,07:08:09:10:11:12,,,
2013-14,41B,charter,41B000,Greensboro Academy,Greensboro Academy,4049 Battleground Ave,,Greensboro,NC,27410,06/30/1999,KG:01:02:03:04:05:06:07:08,,,
2013-14,41C,charter,41C000,Guilford Preparatory Academy,Guilford Preparatory Academy,2210 East Cone Blvd,,Greensboro,NC,27405,06/30/2001,KG:01:02:03:04:05:06:07:08,,,
2013-14,41D,charter,41D000,"Phoenix Academy-  Primary, Elem. IB MYP",Phoenix Academy Inc,4191 Mendenhall Oaks Parkway Gr.2-5,Meeting WayGr K-1 Clinard Farms 6-8,High Point,NC,27265,06/30/2000,KG:01:02:03:04:05:06:07:08:09,,,
2013-14,41F,charter,41F000,Triad Math and Science Academy,Triad Math and Science Academy,700 Creek Ridge Rd,,Greensboro,NC,27406,07/01/2008,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,41G,charter,41G000,Cornerstone Charter Academy-CFA,Cornerstone Charter Academy: A Challenge Foundation Academy,7800 Airport Center Drive,,Greensboro,NC,27409,07/01/2012,KG:01:02:03:04:05:06:07:08:09:10,,,
2013-14,41H,charter,41H000,College Prep and Leadership Academy,The College Preparatory and Leadership Academy of High Point,5700 Riverdale Drive,,Jamestown,NC,27282,07/01/2012,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,41J,charter,41J000,Summerfield Charter Academy,Summerfield Charter Academy,5303 Hwy 220 N,,Summerfield,NC,27358,07/01/2013,KG:01:02:03:04:05:06:07:08,,,
2013-14,41K,charter,41K000,Piedmont Classical High School,Piedmont Classical High School,300 NC Hwy 68,,Greensboro,NC,27409,07/01/2015,09:10:11,,,
2013-14,41L,charter,41L000,Gate City Charter,Gate City Charter Academy,123 Flemingfield Road,,Greensboro,NC,27405,07/01/2016,KG:01:02:03:04:05,,,
2013-14,42A,charter,42A000,KIPP Halifax College Prep,KIPP Halifax College Preparatory,515 Becker Drive,,Roanoke Rapids,NC,27870,07/01/2014,05:06:07,,,
2013-14,43C,charter,43C000,Anderson Creek Club Charter School,Anderson Creek Club Charter School,4940 Ray Road,,Spring Lake,NC,28390,07/01/2014,KG:01:02:03:04:05,,,
2013-14,44A,charter,44A000,Shining Rock Classical Academy: CFA,Shining Rock Classical Academy: CFA,21 Shackford Hall Road,,Lake Junaluska,NC,28745,07/01/2015,KG:01:02:03:04:05:06:07,,,
2013-14,45A,charter,45A000,The Mountain Community Sch,The Mountain Community Sch,613 Glover Street,,Hendersonville,NC,28792,06/30/1999,KG:01:02:03:04:05:06:07:08,,,
2013-14,45B,charter,45B000,FernLeaf Community Charter,FernLeaf Community Charter School,58 Howard Gap Rd,,Fletcher,NC,28732,07/01/2016,KG:01:02:03,,,
2013-14,49B,charter,49B000,American Renaissance School,American Renaissance School,132 East Broad Street,,Statesville,NC,28677,06/30/1999,KG:01:02:03:04:05:06:07:08,,,
2013-14,49D,charter,49D000,Success Institute Charter,Success Charter School,1424-2 Rickert Street,,Statesville,NC,28677,06/30/2000,KG:01:02:03:04:05:06:07:08,,,
2013-14,49E,charter,49E000,Pine Lake Preparatory,"Pine Lake Preparatory, Inc.",104 Yellow Wood Circle,,Mooresville,NC,28115,07/03/2007,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,49F,charter,49F000,Langtree Charter Academy,Langtree Charter Academy,154 Foundation Court,,Mooresville,NC,28117,07/01/2013,KG:01:02:03:04:05:06:07:08:09:10,,,
2013-14,49G,charter,49G000,Iredell Charter Academy,Iredell Charter Academy,251 Home Improvement Street,,Troutman,NC,28116,07/01/2016,KG:01:02:03:04:05:06,,,
2013-14,50A,charter,50A000,Summit Charter,Summit Charter School,370 Mitten Lane,,Cashiers,NC,28717,06/30/1997,KG:01:02:03:04:05:06:07:08,,,
2013-14,51A,charter,51A000,Neuse Charter School,Neuse Charter School,909 Booker Dairy Rd,,Smithfield,NC,27577,07/02/2007,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,54A,charter,54A000,Children's Village Academy,The Children's Village Academy,701 North Adkin Street,,Kinston,NC,28501,06/30/1997,KG:01:02:03:04:05:06:07:08,,,
2013-14,55A,charter,55A000,Lincoln Charter School,Lincoln Charter School,7834 Galway Lane,,Denver,NC,28037,06/30/1998,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,58B,charter,58B000,Bear Grass Charter School,Bear Grass Charter School,6344 E Bear Grass Rd,,Williamston,NC,27982,07/01/2012,06:07:08:09:10:11:12,,,
2013-14,60A,charter,60A000,Community Charter School,Community Charter School,510 South Torrence Street,,Charlotte,NC,28204,06/30/1997,KG:01:02:03:04:05,,,
2013-14,60B,charter,60B000,Sugar Creek Charter,Sugar Creek Charter,4101 N Tryon Street,,Charlotte,NC,28206,06/28/1999,KG:01:02:03:04:05:06:07:08:09:10:11,,,
2013-14,60D,charter,60D000,Lake Norman Charter,Lake Norman Charter,12435 Old Statesville Road,,Huntersville,NC,28078,06/30/1998,05:06:07:08:09:10:11:12,,,
2013-14,60F,charter,60F000,Metrolina Reg Scholars Academy,Metrolina Regional Scholars Academy,5225 Seventy-seven Center Dr,,Charlotte,NC,28217,06/30/2000,KG:01:02:03:04:05:06:07:08,,,
2013-14,60G,charter,60G000,Queen's Grant Community School,Queen's Grant Community School,6400 Matthews Mint Hill Road,,Mint Hill,NC,28227,06/30/2002,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,60I,charter,60I000,Community School of Davidson,Community School of Davidson,404 Armour Street,,Davidson,NC,28036,07/01/2004,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,60J,charter,60J000,Socrates Academy,Socrates Academy,3909 Weddington Rd,,Matthews,NC,28105,07/02/2005,KG:01:02:03:04:05:06:07:08,,,
2013-14,60K,charter,60K000,Charlotte Secondary,Charlotte Secondary School,8601 McAlpine Park Dr,,Charlotte,NC,28211,07/02/2007,06:07:08:09:10:11:12,,,
2013-14,60L,charter,60L000,KIPP Charlotte,KIPP Charlotte,931 Wilann Dr,,Charlotte,NC,28215,07/02/2007,KG:04:05:06:07:08,,,
2013-14,60M,charter,60M000,Corvian Community School,Corvian Community School,9501 David Taylor Dr,,Charlotte,NC,28262,07/01/2012,KG:01:02:03:04:05:06:07,,,
2013-14,60N,charter,60N000,Aristotle Preparatory Academy,Aristotle Preparatory Academy: A Challenge Foundation Academ,2461 Arty Avenue,,Charlotte,NC,28208,07/01/2013,KG:01:02:03:04:05,,,
2013-14,60P,charter,60P000,Charlotte Choice Charter,Charlotte Choice Charter,3118 Milton Road,Suite A,Charlotte,NC,28215,07/01/2013,KG:01:02:03:04:05:06:07:08,,,
2013-14,60Q,charter,60Q000,Invest Collegiate Transform,Invest Collegiate Transform,2045 Suttle Ave,,Charlotte,NC,28208,07/01/2013,KG:01:02:03:04:05:06:07:08,,,
2013-14,60S,charter,60S000,Bradford Preparatory School,Bradford Preparatory School,2502 Salome Church Rd,,Charlotte,NC,28262,07/01/2014,KG:01:02:03:04:05:06:07:08:09:10,,,
2013-14,60U,charter,60U000,Commonwealth High,Commonwealth High School,5112 Central Ave,,Charlotte,NC,28205,07/01/2014,09:10:11:12,,,
2013-14,60V,charter,60V000,Charlotte Learning Academy,Charlotte Learning Academy,701 Scaleybark Rd.,,Charlotte,NC,28209,07/01/2014,06:07:08:09:10:11:12,,,
2013-14,60Y,charter,60Y000,Pioneer Springs Community School,Pioneer Springs Community School,9300 Bob Beatty Rd.,,Charlotte,NC,28269,07/01/2014,KG:01:02:03:04:05,,,
2013-14,61J,charter,61J000,Thunderbird Preparatory Academy,Thunderbird Preparatory School,17609 Old Statesville Rd,,Cornelius,NC,28031,07/01/2014,KG:01:02:03:04:05:06,,,
2013-14,61K,charter,61K000,United Community School,United Community School,1406 Suther Road,,Charlotte,NC,28213,07/01/2014,KG:01:02:03:04,,,
2013-14,61L,charter,61L000,Stewart Creek High,Stewart Creek High School,2701-F Freedom Drive,,Charlotte,NC,28208,07/01/2015,09:10:11:12,,,
2013-14,61M,charter,61M000,Charlotte Lab School,Charlotte Lab School,301 E 9th Street,,Charlotte,NC,28202,07/01/2015,KG:01:02:03:04:05,,,
2013-14,61N,charter,61N000,Queen City STEM School,Queen City STEM School,8701 Mallard Creek Rd,,Charlotte,NC,28262,07/01/2015,KG:01:02:03:04:05:06:07,,,
2013-14,61P,charter,61P000,"VERITAS Community School, CFA",VERITAS Community School: A Challenge Foundation Academy,2600 Grimes Street,,Charlotte,NC,28206,07/01/2015,KG:01:02:03:04,,,
2013-14,61Q,charter,61Q000,Mallard Creek STEM Academy,Mallard Creek STEM Academy,9142 Browne Rd,,Charlotte,NC,28269,07/01/2016,KG:01:02:03:04:05:06,,,
2013-14,61R,charter,61R000,Matthews Charter Academy,Matthews Charter Academy,3624 Lake Park Rd,,Indian Trail,NC,28079,07/01/2016,KG:01:02:03:04:05:06,,,
2013-14,63A,charter,63A000,The Academy of Moore County,The Academy of Moore County,12588 US 15-501 Hwy,,Aberdeen,NC,28315,06/30/1997,KG:01:02:03:04:05,,,
2013-14,63B,charter,63B000,STARS Charter,Sandhills Theatre Arts Renaissance School,140 Southern Dunes Drive,,Vass,NC,28394,06/30/1999,KG:01:02:03:04:05:06:07:08:09,,,
2013-14,64A,charter,64A000,Rocky Mount Preparatory,"Rocky Mount Preparatory School, Inc.",3334 Bishop Road,,Rocky Mount,NC,27804,06/30/1997,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,65A,charter,65A000,Cape Fear Center for Inquiry,Cape Fear Center for Inquiry,2525 Wonder Way,,Wilmington,NC,28401,06/30/2000,KG:01:02:03:04:05:06:07:08,,,
2013-14,65B,charter,65B000,Wilmington Preparatory Academy,Wilmington Preparatory Academy,134 Cinema Drive,,Wilmington,NC,28403,07/02/2007,KG:01:02:03:04:05:06:07:08,,,
2013-14,65C,charter,65C000,Douglass Academy,Douglass Academy,507 N 6th Street,,Wilmington,NC,28401,07/01/2013,KG:01:02:03:04:05,,,
2013-14,65D,charter,65D000,Island Montessori Charter,Island Montessori Charter,6339 Carolina Beach Road,,Wilmington,NC,28412,07/01/2013,KG:01:02:03:04:05:06:07:08,,,
2013-14,65G,charter,65G000,Girls Leadership Academy of Wilmington,Girls Leadership Academy of Wilmington,606 South College Rd,,Wilmington,NC,28403,07/01/2016,06,,,
2013-14,66A,charter,66A000,Gaston College Preparatory,Gaston College Preparatory,320 Pleasant Hill Road,,Gaston,NC,27832,06/30/2001,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,67B,charter,67B000,Z.E.C.A. School of Arts and Technology,Z.E.C.A. School of Arts and Technology,110 C Branchwood Dr,,Jacksonville,NC,28546,07/01/2013,KG:01:02:03:04:05:06:07:08,,,
2013-14,68A,charter,68A000,Eno River Academy,Eno River Academy,920 Corporate Drive,,Hillsborough,NC,27278,06/30/1997,KG:01:02:03:04:05:06:07:08:09:10,,,
2013-14,68C,charter,68C000,The Expedition School,The Expedition School,437 Dimmocks Mill Rd Ste 33,,Hillsborough,NC,27278,07/01/2014,KG:01:02:03:04:05:06:07:08,,,
2013-14,69A,charter,69A000,Arapahoe Charter School,Arapahoe Charter School,9005 NC Hwy 306 S,,Arapahoe,NC,28510,06/30/1997,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,70A,charter,70A000,Northeast Academy of Aerospace & AdvTech,Northeast Academy of Aerospace & Advanced Technologies,ECSU - Moore Hall,1001 Parkview Dr,Elizabeth City,NC,27909,07/01/2015,07:08:09:10,,,
2013-14,73A,charter,73A000,Bethel Hill Charter,Bethel Hill Charter,401 Bethel Hill School Road,,Roxboro,NC,27574,06/30/2000,KG:01:02:03:04:05,,,
2013-14,73B,charter,73B000,Roxboro Community School,"Roxboro Community School, Inc.",115 Lake Drive,,Roxboro,NC,27573,07/02/2006,06:07:08:09:10:11:12,,,
2013-14,74B,charter,74B000,Ignite Innovation Academy - Pitt,Ignite Innovation Academy - Pitt,901 Staton Rd,Suite 204,Greenville,NC,27834,07/01/2016,KG:01:02:03:04:05:06,,,
2013-14,74C,charter,74C000,Winterville Charter Academy,Winterville Charter Academy,4160 Bayswater Road,,Winterville,NC,28590,07/01/2015,KG:01:02:03:04:05:06,,,
2013-14,76A,charter,76A000,Uwharrie Charter Academy,Uwharrie Charter Academy,5326 US Hwy 220 Business South,,Asheboro,NC,27203,07/01/2015,06:07:08:09:10:11:12,,,
2013-14,78A,charter,78A000,CIS Academy,CIS Academy,818 West 3rd Street,,Pembroke,NC,28372,06/30/1997,06:07:08,,,
2013-14,78B,charter,78B000,Southeastern Academy,Southeastern Academy,12251 NC HWY 41 North,,Lumberton,NC,28358,07/01/2013,KG:01:02:03:04:05:06:07:08,,,
2013-14,79A,charter,79A000,Bethany Community Middle,Bethany Community Middle School,181 Bethany Road,,Reidsville,NC,27320,06/30/2000,06:07:08,,,
2013-14,81A,charter,81A000,Thomas Jefferson Class Academy,Thomas Jefferson Classical ACademy: A Challenge Foundation A,2527 US 221A Hwy,,Mooresboro,NC,28114,06/30/1999,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,81B,charter,81B000,Lake Lure Classical Academy,Lake Lure Classical Academy,1058 Island Creek Rd. ,,Lake Lure,NC,28746,07/01/2010,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,84B,charter,84B000,Gray Stone Day,Gray Stone Day School,49464 Merner Terrace,,Misenheimer,NC,28109,06/30/2002,09:10:11:12,,,
2013-14,86T,charter,86T000,Millennium Charter Academy,Millennium Charter Academy,500 Old Springs Rd,,Mount Airy,NC,27030,07/02/2007,KG:01:02:03:04:05:06:07:08:09:10:11,,,
2013-14,87A,charter,87A000,Mountain Discovery,Mountain Discovery Charter School,890 Jenkins Branch Rd N,,Bryson City,NC,28713,06/30/2002,KG:01:02:03:04:05:06:07:08,,,
2013-14,88A,charter,88A000,Brevard Academy,Brevard Academy: A Challenge Foundation Academy,1110 Highway 64,,Pisgah Forest,NC,28768,06/30/1998,KG:01:02:03:04:05:06:07:08,,,
2013-14,90A,charter,90A000,Union Academy,Union Academy Charter School,675 North ML King Jr Blvd,,Monroe,NC,28110,06/30/2000,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,90B,charter,90B000,Union Day School,Union Day School,1525 Crane Rd,,Waxhaw,NC,28173,07/01/2016,KG:01:02:03,,,
2013-14,90C,charter,90C000,Union Prep Academy at Indian Trail,Union Preparatory Academy at Indian Trail,2324 Younts Road,,Indian Trail,NC,28079,07/01/2016,KG:01:02:03:04:05:06,,,
2013-14,91A,charter,91A000,Vance Charter School,Vance Charter School,1227 Dabney Drive,,Henderson,NC,27536,06/30/1999,KG:01:02:03:04:05:06:07:08:09,,,
2013-14,91B,charter,91B000,Henderson Collegiate,Henderson Collegiate,1071 Old Epsom Road,,Henderson,NC,27536,07/01/2010,KG:04:05:06:07:08:09:10,,,
2013-14,92B,charter,92B000,The Exploris School,The Exploris School,401 Hillsborough St.,,Raleigh,NC,27603,06/30/1997,KG:01:02:03:04:05:06:07:08,,,
2013-14,92D,charter,92D000,Magellan Charter,Magellan Charter,9324 Baileywick Road,,Raleigh,NC,27615,06/30/1997,03:04:05:06:07:08,,,
2013-14,92E,charter,92E000,Sterling Montessori Academy,Sterling Montessori Academy,202 Treybrooke Drive,,Morrisville,NC,27560,06/28/1997,P3:PK:KG:01:02:03:04:05:06:07:08,,,
2013-14,92F,charter,92F000,Franklin Academy,Franklin Academy,648 Flaherty Ave,,Wake Forest,NC,27587,06/30/1998,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,92G,charter,92G000,East Wake Academy,East Wake Academy,821 Charter School Way,,Zebulon,NC,27597,06/30/1998,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,92K,charter,92K000,Raleigh Charter High School,Raleigh Charter High School,1307 Glenwood Avenue,,Raleigh,NC,27605,06/30/1999,09:10:11:12,,,
2013-14,92L,charter,92L000,Torchlight Academy,Torchlight Academy,3211 Bramer Drive,,Raleigh,NC,27604,06/30/1999,KG:01:02:03:04:05:06:07,,,
2013-14,92M,charter,92M000,PreEminent Charter,PreEminent Charter School,3815 Rock Quarry Road,,Raleigh,NC,27610,06/30/2000,KG:01:02:03:04:05:06:07:08,,,
2013-14,92N,charter,92N000,Quest Academy,Quest Academy,10908 Strickland Road,,Raleigh,NC,27615,06/30/1999,KG:01:02:03:04:05:06:07:08,,,
2013-14,92P,charter,92P000,Southern Wake Academy,Southern Wake Academy,5108 Old Powell Rd,,Holly Springs,NC,27540,06/28/2000,06:07:08:09:10:11:12,,,
2013-14,92Q,charter,92Q000,Hope Charter Leadership Academy,Hope Charter Leadership Academy,1116 N Blount Street,,Raleigh,NC,27604,06/30/2001,KG:01:02:03:04:05,,,
2013-14,92R,charter,92R000,Casa Esperanza Montessori Charter School,Casa Esperanza Montessori Charter School,2600 Sumner Blvd #130,,Raleigh,NC,27616,06/30/2003,PK:KG:01:02:03:04:05:06:07:08,,,
2013-14,92S,charter,92S000,Endeavor Charter,Endeavor Charter,4879 One World Way,,Wake Forest,NC,27587,07/01/2008,KG:01:02:03:04:05:06:07:08,,,
