school_year,school_code,school_name,total_resident_children,number_low_income_students,percent_low_income_students,served_1st_year,is_title_I
2015-16,920411,East Wake High,1426.0,850.0,59.61,,True
2015-16,920410,East Wake Middle,923.0,660.0,71.51,,True
2015-16,970320,East Wilkes High,528.0,160.0,30.3,,True
2015-16,970322,East Wilkes Middle,424.0,160.0,37.74,,True
2015-16,995324,East Yancey Middle,295.0,183.0,62.03,2006-07,True
2015-16,010324,Eastern Alamance High,1217.0,470.0,38.62,,True
2015-16,070302,Eastern Elementary,589.0,550.0,93.38,2006-07,True
2015-16,740336,Eastern Elementary,694.0,448.0,64.55,2006-07,True
2015-16,410358,Eastern Guilford High,1141.0,481.0,42.16,,True
2015-16,410460,Eastern Guilford Middle,905.0,412.0,45.52,2011-12,True
2015-16,760318,Eastern Randolph High,818.0,490.0,59.9,,True
2015-16,960329,Eastern Wayne Elementary,756.0,728.0,96.3,2002-03,True
2015-16,960330,Eastern Wayne High,989.0,518.0,52.38,,True
2015-16,960331,Eastern Wayne Middle,609.0,396.0,65.02,2015-16,True
2015-16,590306,Eastfield Global Magnet ,383.0,383.0,100.0,2005-06,True
2015-16,010326,Eastlawn Elementary,570.0,570.0,100.0,2002-03,True
2015-16,340368,Easton Elementary School,559.0,559.0,100.0,2005-06,True
2015-16,600379,Eastover Elementary,466.0,95.0,20.39,,True
2015-16,260332,Eastover-Central Elementary,431.0,137.0,31.79,,True
2015-16,320310,Eastway Elementary,592.0,592.0,100.0,2001-02,True
2015-16,600381,Eastway Middle,955.0,631.0,66.07,2002-03,True
2015-16,910316,Eaton-Johnson Middle,491.0,333.0,67.82,2009-10,True
2015-16,110451,Eblen Intermediate,719.0,538.0,74.83,2013-14,True
2015-16,260370,Ed V Baldwin Elementary,667.0,396.0,59.37,2005-06,True
2015-16,330326,Edgecombe Early College High,149.0,41.0,27.52,,True
2015-16,960332,Edgewood Cmty Developmental,167.0,99.0,59.28,,True
2015-16,241308,Edgewood Elementary,477.0,466.0,97.69,2004-05,True
2015-16,580320,Edna Andrews Elementary,156.0,98.0,62.82,2006-07,True
2015-16,450322,Edneyville Elementary,501.0,379.0,75.65,2006-07,True
2015-16,350316,Edward Best Elementary,475.0,371.0,78.11,2006-07,True
2015-16,360392,Edward D Sadler Jr  Elementary School,577.0,577.0,100.0,2005-06,True
2015-16,410307,Edwin A Alderman Elementary,410.0,220.0,53.66,2005-06,True
2015-16,650324,Edwin A Alderman Elementary,269.0,259.0,96.28,2006-07,True
2015-16,650323,Edwin A Anderson Elementary,646.0,277.0,42.88,2012-13,True
2015-16,010328,Edwin M Holt Elementary,643.0,253.0,39.35,,True
2015-16,680324,Efland Cheeks Elementary,452.0,274.0,60.62,2009-10,True
2015-16,630320,Elise Middle,215.0,199.0,92.56,2005-06,True
2015-16,700308,Elizabeth City Middle,658.0,444.0,67.48,2015-16,True
2015-16,600382,Elizabeth Lane Elem,937.0,56.0,5.98,,True
2015-16,260326,Elizabeth M Cashwell Elementary,673.0,673.0,100.0,2004-05,True
2015-16,600384,Elizabeth Traditional Elem,531.0,179.0,33.71,,True
2015-16,090332,Elizabethtown Middle,391.0,246.0,62.92,2002-03,True
2015-16,090333,Elizabethtown Primary,548.0,342.0,62.41,2004-05,True
2015-16,861304,Elkin Elementary,664.0,291.0,43.83,2006-07,True
2015-16,861308,Elkin High,400.0,142.0,35.5,,True
2015-16,861312,Elkin Middle,193.0,91.0,47.15,,True
2015-16,810344,Ellenboro Elementary School,619.0,297.0,47.98,2006-07,True
2015-16,020308,Ellendale Elementary,318.0,173.0,54.4,2006-07,True
2015-16,770316,Ellerbe Middle,205.0,174.0,84.88,2010-11,True
2015-16,980320,Elm City Elementary,347.0,291.0,83.86,2006-07,True
2015-16,980324,Elm City Middle,443.0,232.0,52.37,,True
2015-16,740338,Elmhurst Elementary,405.0,302.0,74.57,2006-07,True
2015-16,010340,Elon Elementary,723.0,203.0,28.08,,True
2015-16,600383,Elon Park Elementary,1125.0,46.0,4.09,,True
2015-16,650325,Emma B Trask Middle,729.0,325.0,44.58,2006-07,True
2015-16,110348,Emma Elementary,429.0,405.0,94.41,2006-07,True
2015-16,650326,Emsley A Laney High,2078.0,862.0,41.48,,True
2015-16,92S000,Endeavor Charter,511.0,0.0,,,True
2015-16,600385,Endhaven Elementary,764.0,153.0,20.03,,True
2015-16,840312,Endy Elementary,317.0,149.0,47.0,2012-13,True
