,prc,lea,expend,fiscal_year
0,001,010,57433706.92,2015-16
1,001,020,13986123.18,2015-16
2,001,030,4153266.18,2015-16
3,001,040,9338075.89,2015-16
4,001,050,8877626.1,2015-16
5,001,060,6048768.55,2015-16
6,001,070,18526285.7,2015-16
7,001,080,6147747.4,2015-16
8,001,090,12477359.63,2015-16
9,001,100,32569974.44,2015-16
10,001,110,66348869.73,2015-16
11,001,111,12306035.6,2015-16
12,001,120,34201362.97,2015-16
13,001,130,79430219.09,2015-16
14,001,132,14498342.18,2015-16
15,001,140,33444972.89,2015-16
16,001,150,5180648.14,2015-16
17,001,160,22885231.02,2015-16
18,001,170,7671942.06,2015-16
19,001,180,45179669.87,2015-16
20,001,181,11656764.11,2015-16
21,001,182,7910375.84,2015-16
22,001,190,21759111.53,2015-16
23,001,200,9057118.14,2015-16
24,001,210,5822920.51,2015-16
25,001,220,3802678.53,2015-16
26,001,230,40831134.54,2015-16
27,001,240,15801521.51,2015-16
28,001,241,6428353.12,2015-16
29,001,250,36924634.7,2015-16
30,001,260,122445258.84,2015-16
31,001,270,10473236.45,2015-16
32,001,280,14803672.32,2015-16
33,001,290,50574711.29,2015-16
34,001,291,8037476.89,2015-16
35,001,292,6269708.21,2015-16
36,001,300,17131268.88,2015-16
37,001,310,24599936.81,2015-16
38,001,320,90944487.45,2015-16
39,001,330,14395698.36,2015-16
40,001,340,147293360.93,2015-16
41,001,350,22416913.41,2015-16
42,001,360,80129351.19,2015-16
43,001,370,4568598.17,2015-16
44,001,380,3188574.6,2015-16
45,001,390,20432393.71,2015-16
46,001,400,7947465.71,2015-16
47,001,410,182586850.76,2015-16
48,001,420,6671997.18,2015-16
49,001,421,8090466.21,2015-16
50,001,422,2391730.15,2015-16
51,001,430,50022916.17,2015-16
52,001,440,19254732.62,2015-16
53,001,450,37177935.52,2015-16
54,001,460,8093980.36,2015-16
55,001,470,20834786.1,2015-16
56,001,480,2024829.1,2015-16
57,001,490,53517156.65,2015-16
58,001,491,15630327.98,2015-16
59,001,500,9821704.36,2015-16
60,001,510,88876841.1,2015-16
61,001,520,3230996.49,2015-16
62,001,530,25797093.41,2015-16
63,001,540,23889434.0,2015-16
64,001,550,30764380.52,2015-16
65,001,560,12167058.42,2015-16
66,001,570,6844283.43,2015-16
67,001,580,9402893.98,2015-16
68,001,590,16869509.87,2015-16
69,001,600,369490492.32,2015-16
70,001,610,5651932.25,2015-16
71,001,620,10991963.68,2015-16
72,001,630,33655008.69,2015-16
73,001,640,41165119.24,2015-16
74,001,650,69806963.66,2015-16
75,001,660,4909747.42,2015-16
76,001,670,63937475.82,2015-16
77,001,680,20497269.56,2015-16
78,001,681,30972888.49,2015-16
79,001,690,3344436.1,2015-16
80,001,700,15130985.83,2015-16
81,001,710,22890577.69,2015-16
82,001,720,4564628.44,2015-16
83,001,730,12027406.72,2015-16
84,001,740,62352747.85,2015-16
85,001,750,6402986.8,2015-16
86,001,760,45605252.86,2015-16
87,001,761,12056958.05,2015-16
88,001,770,19203585.75,2015-16
89,001,780,58720184.71,2015-16
90,001,790,34787808.54,2015-16
91,001,800,52795888.37,2015-16
92,001,810,22878072.93,2015-16
93,001,820,22273563.9,2015-16
94,001,821,8019330.91,2015-16
95,001,830,16092493.34,2015-16
96,001,840,23463203.22,2015-16
97,001,850,16738093.14,2015-16
98,001,860,22275213.42,2015-16
99,001,861,3547014.56,2015-16
100,001,862,4350846.27,2015-16
101,001,870,5535451.72,2015-16
102,001,880,9455558.6,2015-16
103,001,890,1692450.31,2015-16
104,001,900,105007146.45,2015-16
105,001,910,15583065.84,2015-16
106,001,920,417700676.53,2015-16
107,001,930,5218142.9,2015-16
108,001,940,4124685.81,2015-16
109,001,950,12638622.91,2015-16
110,001,960,49258439.25,2015-16
111,001,970,25463026.63,2015-16
112,001,980,31687530.71,2015-16
113,001,990,14892743.59,2015-16
114,001,995,6165272.03,2015-16
115,002,010,1139683.0,2015-16
116,002,020,642256.0,2015-16
117,002,030,502130.0,2015-16
118,002,040,570248.0,2015-16
119,002,050,592721.0,2015-16
120,002,060,606983.39,2015-16
121,002,070,855708.0,2015-16
122,002,080,682196.0,2015-16
123,002,090,843010.0,2015-16
124,002,100,800800.0,2015-16
125,002,110,1279719.0,2015-16
126,002,111,505577.31,2015-16
127,002,120,953396.0,2015-16
128,002,130,1056211.0,2015-16
129,002,132,504245.0,2015-16
130,002,140,867279.0,2015-16
131,002,150,494970.87,2015-16
132,002,160,729162.0,2015-16
133,002,170,628214.31,2015-16
134,002,180,975264.0,2015-16
135,002,181,510670.0,2015-16
136,002,182,466957.0,2015-16
137,002,190,696087.0,2015-16
138,002,200,585597.0,2015-16
139,002,210,628256.0,2015-16
140,002,220,505781.56,2015-16
141,002,230,1055840.0,2015-16
142,002,240,720215.47,2015-16
143,002,241,469253.77,2015-16
144,002,250,957576.49,2015-16
145,002,260,2028093.96,2015-16
146,002,270,549070.0,2015-16
147,002,280,631528.0,2015-16
148,002,290,1095452.0,2015-16
149,002,291,474125.0,2015-16
150,002,292,447651.0,2015-16
151,002,300,614690.0,2015-16
152,002,310,726079.0,2015-16
153,002,320,1372321.0,2015-16
154,002,330,778627.25,2015-16
155,002,340,1733616.0,2015-16
156,002,350,707944.51,2015-16
157,002,360,1415280.0,2015-16
158,002,370,596799.0,2015-16
159,002,380,510237.93,2015-16
160,002,390,687880.81,2015-16
161,002,400,552725.0,2015-16
162,002,410,2293897.0,2015-16
163,002,420,676980.42,2015-16
164,002,421,484883.0,2015-16
165,002,422,425275.0,2015-16
166,002,430,997298.0,2015-16
167,002,440,805698.0,2015-16
168,002,450,840789.0,2015-16
169,002,460,640412.0,2015-16
170,002,470,658192.0,2015-16
171,002,480,484529.0,2015-16
172,002,490,992575.0,2015-16
173,002,491,472062.11,2015-16
174,002,500,600329.0,2015-16
175,002,510,1047347.54,2015-16
176,002,520,545658.0,2015-16
177,002,530,740735.0,2015-16
178,002,540,862450.0,2015-16
179,002,550,812117.17,2015-16
180,002,560,481719.98,2015-16
181,002,570,631035.0,2015-16
182,002,580,603493.0,2015-16
183,002,590,830977.0,2015-16
184,002,600,3351809.0,2015-16
185,002,610,540114.0,2015-16
186,002,620,610387.0,2015-16
187,002,630,871644.0,2015-16
188,002,640,1071285.99,2015-16
189,002,650,1152347.3,2015-16
190,002,660,615408.42,2015-16
