,prc,lea,expend,allotment,fiscal_year
121,002,070,845851.0,845851.0,2016-17
122,002,080,674531.09,674591.0,2016-17
123,002,090,833299.0,833299.0,2016-17
124,002,100,791576.0,791576.0,2016-17
125,002,110,1264965.98,1264978.0,2016-17
126,002,111,499754.0,499754.0,2016-17
127,002,120,942414.0,942414.0,2016-17
128,002,130,1044045.0,1044045.0,2016-17
129,002,132,498437.0,498437.0,2016-17
130,002,140,857326.0,857289.0,2016-17
131,002,150,489287.41,489348.0,2016-17
132,002,160,720763.0,720763.0,2016-17
133,002,170,622328.63,621652.0,2016-17
134,002,180,964030.0,964030.0,2016-17
135,002,181,504788.0,504788.0,2016-17
136,002,182,461578.0,461578.0,2016-17
137,002,190,688069.0,688069.0,2016-17
138,002,200,578851.55,578852.0,2016-17
139,002,210,621019.0,621019.0,2016-17
140,002,220,499955.77,499956.0,2016-17
141,002,230,1043678.0,1043678.0,2016-17
142,002,240,711918.94,711921.0,2016-17
143,002,241,463715.74,463853.0,2016-17
144,002,250,946547.56,946549.0,2016-17
145,002,260,2004731.47,2004732.0,2016-17
146,002,270,542745.0,542745.0,2016-17
147,002,280,625094.05,624253.0,2016-17
148,002,290,1082834.0,1082834.0,2016-17
149,002,291,468664.0,468664.0,2016-17
150,002,292,441729.93,442495.0,2016-17
151,002,300,607609.0,607609.0,2016-17
152,002,310,716762.51,717715.0,2016-17
153,002,320,1356513.0,1356513.0,2016-17
154,002,330,769659.0,769659.0,2016-17
155,002,340,1713647.0,1713647.0,2016-17
156,002,350,699968.42,700011.0,2016-17
157,002,360,1398977.0,1398977.0,2016-17
158,002,370,548047.0,548047.0,2016-17
159,002,380,504605.18,504950.0,2016-17
160,002,390,679966.0,679966.0,2016-17
161,002,400,546358.0,546358.0,2016-17
162,002,410,2267474.0,2267474.0,2016-17
163,002,420,672322.0,672322.0,2016-17
164,002,421,479297.93,479298.0,2016-17
165,002,422,420376.0,420376.0,2016-17
166,002,430,985810.0,985810.0,2016-17
167,002,440,796417.0,796417.0,2016-17
168,002,450,831104.0,831104.0,2016-17
169,002,460,633035.0,633035.0,2016-17
170,002,470,650610.0,650610.0,2016-17
171,002,480,478948.0,478948.0,2016-17
172,002,490,981142.0,981142.0,2016-17
173,002,491,483339.04,483661.0,2016-17
174,002,500,593414.0,593414.0,2016-17
175,002,510,1035430.0,1035430.0,2016-17
176,002,520,539373.0,539373.0,2016-17
177,002,530,732203.0,732203.0,2016-17
178,002,540,852515.0,852515.0,2016-17
179,002,550,803960.0,803960.0,2016-17
180,002,560,510952.01,510952.0,2016-17
181,002,570,623766.0,623766.0,2016-17
182,002,580,596541.0,596541.0,2016-17
183,002,590,822746.78,821405.0,2016-17
184,002,600,3314391.0,3313200.0,2016-17
185,002,610,533892.0,533892.0,2016-17
186,002,620,603356.0,603356.0,2016-17
187,002,630,861604.0,861604.0,2016-17
188,002,640,1059637.0,1059637.0,2016-17
189,002,650,1139074.0,1139074.0,2016-17
190,002,660,608241.82,608320.0,2016-17
191,002,670,1129384.0,1129384.0,2016-17
192,002,680,689921.0,689921.0,2016-17
193,002,681,664326.0,664326.0,2016-17
194,002,690,655495.0,655495.0,2016-17
195,002,700,752189.52,752196.0,2016-17
196,002,710,615335.0,615335.0,2016-17
197,002,720,533720.0,533720.0,2016-17
198,002,730,636185.0,636185.0,2016-17
199,002,740,1120240.0,1120240.0,2016-17
200,002,750,516833.0,516833.0,2016-17
201,002,760,984865.7,984866.0,2016-17
202,002,761,499096.0,499096.0,2016-17
203,002,770,788683.0,788683.0,2016-17
204,002,780,1212144.12,1213898.0,2016-17
205,002,790,948781.78,948790.0,2016-17
206,002,800,1101062.6,1102060.0,2016-17
207,002,810,795441.0,795441.0,2016-17
208,002,820,682927.0,682927.0,2016-17
209,002,821,461623.71,461644.0,2016-17
210,002,830,722895.0,722895.0,2016-17
211,002,840,813941.0,813941.0,2016-17
212,002,850,705334.0,705334.0,2016-17
213,002,860,702386.49,702390.0,2016-17
214,002,861,385073.0,385073.0,2016-17
215,002,862,448446.09,448541.0,2016-17
216,002,870,578869.0,578869.0,2016-17
217,002,880,631229.17,631235.0,2016-17
218,002,890,486177.0,486177.0,2016-17
219,002,900,1083156.0,1083156.0,2016-17
220,002,910,825208.0,825208.0,2016-17
221,002,920,3161359.54,3161360.0,2016-17
222,002,930,570827.0,570827.0,2016-17
223,002,940,641337.0,641337.0,2016-17
224,002,950,592454.0,592454.0,2016-17
225,002,960,1094900.0,1094900.0,2016-17
226,002,970,829575.0,829575.0,2016-17
227,002,980,851207.99,851208.0,2016-17
228,002,990,631467.0,631467.0,2016-17
229,002,995,539026.0,539026.0,2016-17
230,003,010,5874187.47,5874363.0,2016-17
231,003,020,1296918.0,1296918.0,2016-17
232,003,030,366033.0,366033.0,2016-17
233,003,040,879458.0,879458.0,2016-17
234,003,050,806464.0,806464.0,2016-17
235,003,060,631340.0,631340.0,2016-17
236,003,070,1785489.0,1785489.0,2016-17
237,003,080,564197.44,584859.0,2016-17
238,003,090,1209466.0,1209466.0,2016-17
239,003,100,3628840.0,3628840.0,2016-17
240,003,110,6336748.87,6336773.0,2016-17
241,003,111,1209607.0,1209607.0,2016-17
242,003,120,3216098.64,3216754.0,2016-17
243,003,130,9356024.0,9356024.0,2016-17
244,003,132,1364815.8,1367252.0,2016-17
245,003,140,3119728.0,3119728.0,2016-17
246,003,150,472330.15,472331.0,2016-17
247,003,160,2169464.0,2169464.0,2016-17
248,003,170,722008.11,700607.0,2016-17
249,003,180,4260009.0,4260009.0,2016-17
250,003,181,1118354.0,1118354.0,2016-17
251,003,182,1074140.0,1074140.0,2016-17
252,003,190,2224395.0,2224395.0,2016-17
253,003,200,866412.6,866413.0,2016-17
254,003,210,535488.0,535488.0,2016-17
255,003,220,344210.28,344256.0,2016-17
256,003,230,3884612.75,3884554.0,2016-17
257,003,240,1545782.0,1545782.0,2016-17
258,003,241,533248.6,533276.0,2016-17
259,003,250,3668352.23,3670671.0,2016-17
260,003,260,13079818.44,13079819.0,2016-17
261,003,270,1044237.0,1044237.0,2016-17
262,003,280,1292582.0,1293632.0,2016-17
263,003,290,5029550.96,5029551.0,2016-17
264,003,291,1121828.0,1121828.0,2016-17
265,003,292,874723.78,891894.0,2016-17
266,003,300,2175023.0,2175023.0,2016-17
267,003,310,2550949.11,2552387.0,2016-17
268,003,320,9255391.0,9255391.0,2016-17
269,003,330,1546093.0,1546093.0,2016-17
270,003,340,20127072.0,20127072.0,2016-17
271,003,350,2195446.53,2195471.0,2016-17
272,003,360,7873698.0,7873698.0,2016-17
273,003,370,578639.0,578639.0,2016-17
274,003,380,308281.24,308354.0,2016-17
275,003,390,3433161.44,3432809.0,2016-17
276,003,400,818536.0,818536.0,2016-17
277,003,410,30231803.0,30231803.0,2016-17
278,003,420,689046.72,690576.0,2016-17
279,003,421,745925.0,745925.0,2016-17
280,003,422,252311.0,252311.0,2016-17
281,003,430,5368699.0,5368699.0,2016-17
282,003,440,1838488.0,1838488.0,2016-17
283,003,450,4006596.0,4006596.0,2016-17
284,003,460,756103.0,756103.0,2016-17
285,003,470,2234137.0,2237262.0,2016-17
286,003,480,154664.0,154664.0,2016-17
287,003,490,6471970.0,6471970.0,2016-17
288,003,491,1567131.52,1566637.0,2016-17
289,003,500,1082800.0,1082800.0,2016-17
290,003,510,9036377.06,9036925.0,2016-17
291,003,520,316562.0,316562.0,2016-17
292,003,530,2604464.0,2604464.0,2016-17
293,003,540,2319906.0,2319906.0,2016-17
294,003,550,2987466.0,2987466.0,2016-17
295,003,560,1392021.0,1392021.0,2016-17
296,003,570,623365.0,623365.0,2016-17
297,003,580,854205.0,854205.0,2016-17
298,003,590,2200033.01,2200023.0,2016-17
299,003,600,55147198.67,55147396.0,2016-17
300,003,610,489002.0,489002.0,2016-17
301,003,620,1040209.0,1040209.0,2016-17
302,003,630,5094051.0,5094051.0,2016-17
303,003,640,4004762.0,4004762.0,2016-17
304,003,650,11383597.0,11383597.0,2016-17
305,003,660,471555.0,471555.0,2016-17
306,003,670,6818838.0,6818838.0,2016-17
307,003,680,1947135.0,1947135.0,2016-17
308,003,681,3128899.0,3128899.0,2016-17
309,003,690,317016.0,317016.0,2016-17
310,003,700,1496389.0,1496389.0,2016-17
311,003,710,2385238.2,2385427.0,2016-17
312,003,720,441186.0,441186.0,2016-17
313,003,730,1196572.0,1196572.0,2016-17
314,003,740,6095786.0,6095786.0,2016-17
315,003,750,565766.13,565764.0,2016-17
316,003,760,4529544.48,4529545.0,2016-17
317,003,761,1216092.0,1216092.0,2016-17
318,003,770,1914567.0,1914567.0,2016-17
319,003,780,8523060.13,8523133.0,2016-17
320,003,790,3294471.02,3294450.0,2016-17
321,003,800,5042136.0,5042136.0,2016-17
322,003,810,2132096.0,2132096.0,2016-17
323,003,820,2173628.0,2173628.0,2016-17
324,003,821,798502.46,798523.0,2016-17
325,003,830,1517691.0,1517691.0,2016-17
326,003,840,2223947.0,2223947.0,2016-17
327,003,850,1602645.0,1602645.0,2016-17
328,003,860,3055831.33,3055832.0,2016-17
329,003,861,310576.0,310576.0,2016-17
330,003,862,478176.97,478219.0,2016-17
331,003,870,500399.0,500399.0,2016-17
332,003,880,1008590.67,1007454.0,2016-17
333,003,890,153449.0,153449.0,2016-17
334,003,900,11243941.0,11243941.0,2016-17
335,003,910,1607288.0,1607288.0,2016-17
336,003,920,53457638.0,53457638.0,2016-17
337,003,930,569613.0,571113.0,2016-17
338,003,940,399297.0,399297.0,2016-17
339,003,950,1132377.89,1131690.0,2016-17
340,003,960,4637867.0,4637867.0,2016-17
341,003,970,2964865.16,2964865.0,2016-17
342,003,980,3158186.97,3158187.0,2016-17
343,003,990,1327316.0,1327316.0,2016-17
344,003,995,639261.0,639261.0,2016-17
345,005,010,4667020.71,4697091.0,2016-17
