,prc,lea,expend,fiscal_year
0,001,010,56616107.34,2014-15
1,001,020,14337618.47,2014-15
2,001,030,4204701.6,2014-15
3,001,040,9296375.44,2014-15
4,001,050,8889070.7,2014-15
5,001,060,6186332.42,2014-15
6,001,070,18977876.87,2014-15
7,001,080,6350800.14,2014-15
8,001,090,12701686.65,2014-15
9,001,100,32684412.88,2014-15
10,001,110,67761200.52,2014-15
11,001,111,12000344.2,2014-15
12,001,120,34482453.33,2014-15
13,001,130,78480406.4,2014-15
14,001,132,14366036.62,2014-15
15,001,140,33672336.27,2014-15
16,001,150,5160851.14,2014-15
17,001,160,23617175.47,2014-15
18,001,170,7609111.92,2014-15
19,001,180,45207617.87,2014-15
20,001,181,11306844.15,2014-15
21,001,182,8017733.1,2014-15
22,001,190,21516343.6,2014-15
23,001,200,9210275.58,2014-15
24,001,210,6032776.01,2014-15
25,001,220,3808044.07,2014-15
26,001,230,40845656.35,2014-15
27,001,240,15658564.68,2014-15
28,001,241,6375474.94,2014-15
29,001,250,36758378.02,2014-15
30,001,260,125730508.0,2014-15
31,001,270,10387697.18,2014-15
32,001,280,15024802.15,2014-15
33,001,290,50717121.32,2014-15
34,001,291,8012407.29,2014-15
35,001,292,6304533.05,2014-15
36,001,300,17342398.03,2014-15
37,001,310,24214282.9,2014-15
38,001,320,90695257.62,2014-15
39,001,330,14895153.34,2014-15
40,001,340,145669967.84,2014-15
41,001,350,22430776.38,2014-15
42,001,360,79614036.22,2014-15
43,001,370,4588379.64,2014-15
44,001,380,3210768.49,2014-15
45,001,390,20467624.49,2014-15
46,001,400,7690670.39,2014-15
47,001,410,185814557.19,2014-15
48,001,420,7420395.07,2014-15
49,001,421,8332646.77,2014-15
50,001,422,2544547.67,2014-15
51,001,430,49722984.01,2014-15
52,001,440,19872562.1,2014-15
53,001,450,37004837.0,2014-15
54,001,460,8198242.19,2014-15
55,001,470,20142669.22,2014-15
56,001,480,1991877.11,2014-15
57,001,490,53523365.13,2014-15
58,001,491,15495841.51,2014-15
59,001,500,9482592.2,2014-15
60,001,510,86934735.46,2014-15
61,001,520,3285506.82,2014-15
62,001,530,25793001.41,2014-15
63,001,540,23694693.28,2014-15
64,001,550,30749477.96,2014-15
65,001,560,11949498.8,2014-15
66,001,570,6921433.02,2014-15
67,001,580,9368664.54,2014-15
68,001,590,16774952.64,2014-15
69,001,600,356895590.0,2014-15
70,001,610,5625421.7,2014-15
71,001,620,10765393.25,2014-15
